"","job_skills","count"
"821","devsecops",12
"822","dimensionality reduction",12
"823","entity resolution",12
"824","generators",12
"825","independent work",12
"826","kotlin",12
"827","macros",12
"828","mentorship",12
"829","operating systems",12
"830","power distribution",12
"831","predictive analysis",12
"832","proactiveness",12
"833","recommendation engines",12
"834","schema design",12
"835","statistical packages",12
"836","storytelling",12
"837","strategic thinking",12
"838","streaming data ingestion",12
"839","support vector machines",12
"840","text analytics",12
"841","time series forecasting",12
"842","torch",12
"843","transfer learning",12
"844","uipath",12
"845","unsupervised work",12
"846","views",12
"847","work style assessment",12
"848","active learning",11
"849","actuarial science",11
"850","adf",11
"851","advanced excel",11
"852","asynchronous work",11
"853","aws services",11
"854","batch data ingestion",11
"855","bayesian optimization",11
"856","business insights",11
"857","business intelligence tools",11
"858","clinical trials",11
"859","crm",11
"860","data automation",11
"861","data cataloging",11
"862","data orchestration",11
"863","data platform",11
"864","data requirements",11
"865","data standards",11
"866","database management systems",11
"867","datadog",11
"868","dataiku",11
"869","descriptive statistics",11
"870","design calculations",11
"871","design patterns",11
"872","development",11
"873","ecs",11
"874","edtech",11
"875","elastic search",11
"876","ensemble methods",11
"877","fintech",11
"878","flexible work hours",11
"879","github actions",11
"880","google sheets",11
"881","gpt",11
"882","gpu",11
"883","graph databases",11
"884","healthcare analytics",11
"885","hedis",11
"886","hipaa",11
"887","informatics",11
"888","knowledge graphs",11
"889","logistics",11
"890","luigi",11
"891","machine learning frameworks",11
"892","machine learning libraries",11
"893","model implementation",11
"894","ms office suite",11
"895","ocr",11
"896","open source",11
"897","outlook",11
"898","pipelines",11
"899","prescriptive modeling",11
"900","pricing",11
"901","python programming",11
"902","qlik sense",11
"903","queries",11
"904","quicksight",11
"905","r shiny",11
"906","retail",11
"907","rstudio",11
"908","sampling",11
"909","shiny",11
"910","software development life cycle",11
"911","software development lifecycle",11
"912","stata",11
"913","stem",11
"914","strategic planning",11
"915","streaming technologies",11
"916","supply chain management",11
"917","svm",11
"918","tcp/ip standards",11
"919","technical reports",11
"920","vertica",11
"921","waterfall",11
"922","yarn",11
"923","amplitude",10
"924","anova",10
"925","azure ml",10
"926","banking",10
"927","big data analysis",10
"928","big data platforms",10
"929","bokeh",10
"930","building information modeling",10
"931","cad",10
"932","civil engineering",10
"933","cloud environment",10
"934","cloud formation",10
"935","complex problem solving",10
"936","containers",10
"937","continuous deployment",10
"938","cplex",10
"939","cuda",10
"940","culture",10
"941","dask",10
"942","data completeness",10
"943","data design",10
"944","data etl",10
"945","data flows",10
"946","data fusion",10
"947","data literacy",10
"948","data optimization",10
"949","data organization",10
"950","data querying",10
"951","data services",10
"952","data sourcing",10
"953","data visualisation",10
"954","datastage",10
"955","diagnostics",10
"956","digital marketing",10
"957","eda",10
"958","education",10
"959","effective communication",10
"960","empathy",10
"961","exploratory analysis",10
"962","geospatial data",10
"963","ggplot",10
"964","health insurance",10
"965","hue",10
"966","hvac systems",10
"967","incident management",10
"968","machine learning models",10
"969","maximo",10
"970","mdm",10
"971","microsoft teams",10
"972","ml models",10
"973","ml ops",10
"974","modeling techniques",10
"975","mssql",10
"976","network analysis",10
"977","object detection",10
"978","oncology",10
"979","ootb product capabilities",10
"980","orchestration",10
"981","paid time off",10
"982","performance testing",10
"983","pivot tables",10
"984","plumbing",10
"985","procurement",10
"986","qualitative analysis",10
"987","quality",10
"988","quality focus",10
"989","quality mindset",10
"990","recommendations",10
"991","reliability",10
"992","sales",10
"993","selenium",10
"994","selfstarter",10
"995","serverless",10
"996","slurm",10
"997","software",10
"998","software development life cycle (sdlc)",10
"999","sql queries",10
"1000","star schemas",10
"1001","statistical methodologies",10
"1002","systems analysis",10
"1003","testdriven development",10
"1004","third party libraries (power bi tableau data studio)",10
"1005","timeseries forecasting",10
"1006","validation",10
"1007","zendesk",10
"1008","active listening",9
"1009","agile environment",9
"1010","analytical tools",9
"1011","apache",9
"1012","apache hadoop",9
"1013","apache hive",9
"1014","asset tagging",9
"1015","calculus",9
"1016","cloud architecture",9
"1017","cluster analysis",9
"1018","conda",9
"1019","curiosity",9
"1020","customer analytics",9
"1021","customer facing skills",9
"1022","data dictionary",9
"1023","data stores",9
"1024","data systems",9
"1025","data testing",9
"1026","data warehouse architecture",9
"1027","dataflow",9
"1028","dataproc",9
"1029","decisionmaking",9
"1030","descriptive analytics",9
"1031","detail orientation",9
